website,time,link,title,summary
SEC,2020-10-22T10:00:00Z,https://www.sec.gov/news/press-release/2020-263,SEC to Host Panel with Women Entrepreneurs of Color on Oct. 28,"FOR IMMEDIATE RELEASE2020-263The Securities and Exchange Commission today announced it will host a virtual forum next week featuring women entrepreneurs and investors of color from Los Angeles and Atlanta discussing their business experiences and ways to improve access to capital for minorities and women.
The discussion, titled “Women of Color Entrepreneurs on Being Powerful Voices for Access to Capital,” will take place on October 28, 2020, at 7 p.m.
Click here at the time of the event to watch live and email AROOutreach@sec.gov to submit questions before the event.
A collaborative effort between the SEC’s Atlanta and Los Angeles Regional Offices, the panel will be moderated by the SEC’s Office of the Advocate for Small Business Capital Formation.
For more information about the SEC’s Office of the Advocate for Small Business Capital Formation, including the recently released recommendations from the annual Small Business Forum, click here."
SEC,2020-10-21T16:00:00Z,https://www.sec.gov/news/press-release/2020-262,SEC Obtains Final Judgment Against Kik Interactive For Unregistered Offering,"FOR IMMEDIATE RELEASE2020-262The Securities and Exchange Commission announced today that a federal district court has entered a final judgment on consent against Kik Interactive Inc. to resolve the SEC’s charges that Kik’s unregistered offering of digital “Kin” tokens in 2017 violated the federal securities laws.
The court further found that Kik’s private and public token sales were a single integrated offering.
“Issuers seeking to use the public markets to capitalize their businesses may not evade the registration requirements of the federal securities laws,” said Kristina Littman, Chief of the SEC Enforcement Division's Cyber Unit.
“The court’s decision recognized that Kik was engaged in a single, illegal offering of securities.”The final judgment permanently enjoins Kik from violating the registration provisions of Sections 5(a) and 5(c) of the Securities Act of 1933.
The SEC is represented by Laura D’Allaird, David Mendel, and Stephan Schlegelmilch with assistance from Jeff Leasure, Brent Mitchell, and James Murtha of the Complex Financial Instruments Unit."
SEC,2020-10-16T12:00:00Z,https://www.sec.gov/news/press-release/2020-261,SEC Updates Auditor Independence Rules,"Amendments Reflect Staff Experience Applying the Auditor Independence FrameworkFOR IMMEDIATE RELEASE2020-261The Securities and Exchange Commission today announced that it adopted final amendments to certain auditor independence requirements in Rule 2-01 of Regulation S-X.
“These modernized auditor independence requirements will increase investor protection by focusing audit clients, audit committees, and auditors on areas that may threaten an auditor’s objectivity and impartiality.
Additionally, in the May 2018 Proposing Release for Auditor Independence with Respect to Certain Loans or Creditor/Debtor Relationships, the Commission solicited suggestions for other revisions to the independence requirements.
Focusing on Risks to Audit Firm Objectivity and ImpartialityThe final amendments seek to focus our auditor independence rules on relationships and services that are more likely to jeopardize the objectivity and impartiality of auditors.
Under the rules as amended, Company X would be able to engage Audit Firm A for audit services."
SEC,2020-10-16T09:15:12Z,https://www.sec.gov/news/press-release/2020-260,SEC Releases Agenda for October 26 Roundtable on Regulation Best Interest and Form CRS,"FOR IMMEDIATE RELEASE2020-260The Securities and Exchange Commission today announced the agenda and panelists for the October 26, 2020, roundtable where Commission staff and FINRA will discuss initial observations on Regulation Best Interest and Form CRS implementation.
The roundtable will be publicly viewable on Monday, October 26 at 1:00 p.m.
Additionally, the roundtable will be recorded and archived to enable viewing at a later date.
Panelists at the roundtable will discuss initial observations on the implementation of Regulation Best Interest and Form CRS.
AgendaRoundtable on Regulation Best Interest and Form CRSMonday, October 26, 2020 1:00 – 3:00 p.m."
SEC,2020-10-15T18:45:00Z,https://www.sec.gov/news/press-release/2020-259,SEC and CFTC to Hold a Joint Open Meeting on October 22,"FOR IMMEDIATE RELEASE2020-259The U.S. Securities and Exchange Commission and the Commodity Futures Trading Commission today announced their agencies will hold a joint open meeting on Thursday, Oct. 22, 2020, at 10:00 a.m. (EDT).
The meeting will be held virtually.
Request for comment: Portfolio Margining of Uncleared Swaps and Non-Cleared Security-Based Swaps – The Commissions will consider whether to issue a request for comment on the portfolio margining of uncleared swaps and non-cleared security-based swaps.
The request for comment would solicit comment on all aspects of the portfolio margining of uncleared swaps, non-cleared security-based swaps, and related positions, including on the merits, benefits, and risks of portfolio margining these types of positions, and on any regulatory, legal, and operational issues associated with portfolio margining them.
Members of the public can view the meeting at www.sec.gov."
SEC,2020-10-15T17:40:00Z,https://www.sec.gov/news/press-release/2020-258,SEC Charges Andeavor for Inadequate Controls Around Authorization of Stock Buyback Plan,"Andeavor agreed to pay a $20 million penalty to settle the charges.
According to the SEC’s order, Andeavor and Marathon held months of confidential discussions in 2017 about Marathon potentially acquiring Andeavor, which at the time was an energy company headquartered in San Antonio.
The order finds that two days before the date set for resuming the discussions, Andeavor’s CEO directed the company’s CFO to initiate a $250 million stock buyback.
Approximately one month after completing the buyback, the order finds, Andeavor publicly announced that it would be acquired by Marathon in a deal valuing Andeavor at over $150 per share.
Without admitting the findings in the order, Andeavor agreed to cease-and-desist from further violations of that provision, and to pay a civil penalty of $20 million."
SEC,2020-10-15T13:53:00Z,https://www.sec.gov/news/press-release/2020-257,Board Member James G. Kaiser to Retire From the PCAOB; Contributed Substantially to PCAOB Strategic Plan and the Use of Technology to Enhance Audit Quality,"FOR IMMEDIATE RELEASE2020-257The Securities and Exchange Commission today announced that James (Jim) G. Kaiser will leave the Public Company Accounting Oversight Board (PCAOB) after completing his term as a Board member.
Mr. Kaiser was appointed to the Board in December 2017 and his term expires in October 2020.
Mr. Kaiser was eligible for reappointment to the 2020-2025 term but elected not to stand for reappointment.
“I would like to thank Jim Kaiser for his dedicated public service as a member of the PCAOB Board.
Jim Kaiser, a certified public accountant, joined the PCAOB after retiring from PricewaterhouseCoopers after 38 years, including 28 years as an audit partner."
SEC,2020-10-15T13:51:00Z,https://www.sec.gov/news/press-release/2020-256,SEC Appoints PCAOB Chief Auditor Megan Zietsman to PCAOB Board,"FOR IMMEDIATE RELEASE2020-256The Securities and Exchange Commission today announced the appointment of Megan Zietsman as a Board member of the Public Company Accounting Oversight Board (PCAOB) for a term ending in October 2025.
Ms. Zietsman has been the Chief Auditor and Director of Professional Standards of the PCAOB since February 2019.
The PCAOB accomplishes these goals through registering public accounting firms, setting auditing standards, conducting inspections, and pursuing disciplinary actions.
In her role as the Chief Auditor and Director of Professional Standards of the PCAOB, she made significant contributions to audit quality.
She also served on the American Institute of Certified Public Accountants' Auditing Standards Board from 2007 to 2011."
SEC,2020-10-15T11:05:00Z,https://www.sec.gov/news/press-release/2020-255,"SEC Awards $800,000 to Whistleblower","FOR IMMEDIATE RELEASE2020-255The Securities and Exchange Commission today announced an award of more than $800,000 to a whistleblower whose information caused the staff to open an investigation that led to two successful SEC enforcement actions.
“The whistleblower provided the Commission with a detailed analysis that alerted staff to the underlying securities violations,” said Jane Norberg, Chief of the SEC’s Office of the Whistleblower.
No money has been taken or withheld from harmed investors to pay whistleblower awards.
Whistleblowers may be eligible for an award when they voluntarily provide the SEC with original, timely, and credible information that leads to a successful enforcement action.
Whistleblower awards can range from 10 percent to 30 percent of the money collected when the monetary sanctions exceed $1 million."
SEC,2020-10-14T15:15:00Z,https://www.sec.gov/news/press-release/2020-254,SEC Charges Brazilian Meat Producers With FCPA Violations,"The SEC’s order finds that the Batistas engaged in a bribery scheme in part to facilitate JBS’s 2009 acquisition of U.S. issuer Pilgrim’s Pride Corporation.
The order also finds that the Batistas, who signed Pilgrim’s Pride’s financial statements, did not disclose their conduct to Pilgrim’s Pride’s accountants and independent public accountants.
Further, JBS agreed to pay approximately $27 million in disgorgement and the Batistas each agreed to pay a civil penalty of $550,000.
The parties must also comply with a three-year undertaking to self-report on the status of certain remedial measures.
The SEC appreciates the cooperation of the Ministerio Publico Federal and the Procuradoria-Geral da Republica in Brazil."
SEC,2020-10-13T16:40:00Z,https://www.sec.gov/news/press-release/2020-253,Tamara Brightwell Named Deputy Director of Division of Corporation Finance’s Disclosure Review Program,"FOR IMMEDIATE RELEASE2020-253The Securities and Exchange Commission today announced that Tamara M. Brightwell has been named Deputy Director of the Division of Corporation Finance’s Disclosure Review Program.
As the Disclosure Review Program Deputy Director, Ms. Brightwell will join Jessica Kane, the newly-appointed Disclosure Review Program Director, in overseeing the work of the Division’s reviews of transactional filings and periodic and current reports in the Division’s mission-critical work to promote capital formation and protect investors.
Ms. Brightwell has served as Deputy Chief Counsel in the Division of Corporation Finance’s Office of Chief Counsel since 2018.
Prior to that role, Ms. Brightwell served in the Division of Corporation Finance as Senior Special Counsel to the Director and Special Counsel in the Office of Chief Counsel.
Ms. Brightwell originally joined the Division as an attorney in the Disclosure Review Program."
SEC,2020-10-13T16:30:00Z,https://www.sec.gov/news/press-release/2020-252,Jessica Kane Named Director of Division of Corporation Finance’s Disclosure Review Program,"FOR IMMEDIATE RELEASE2020-252The Securities and Exchange Commission today announced that Jessica S. Kane has been named Director of the Division of Corporation Finance’s Disclosure Review Program.
Ms. Kane will lead initiatives to monitor and enhance the effectiveness, relevancy and transparency of disclosures.
Ms. Kane has served as Director of the Office of Credit Ratings since 2017, leading its work to oversee credit rating agencies registered with the Commission as NRSROs.
Prior to joining the Office of Municipal Securities, Ms. Kane served in the Office of Legislative and Intergovernmental Affairs.
Ms. Kane originally joined the SEC in 2007 as an attorney in the Division’s Disclosure Review Program."
SEC,2020-10-08T17:40:00Z,https://www.sec.gov/news/press-release/2020-251,"SEC Charges Seismic Data Company, Former Executives With $100 Million Accounting Fraud","The complaint alleges that, of the amount SAE recorded in revenue, approximately $100 million was improperly recorded in light of the Alaskan company's inability to pay and the SAE executives' control of the company.
The complaint alleges that, in addition, the executives also stole a total of approximately $6 million for themselves.
The SEC's complaint charges the defendants with violating the antifraud, books and records, and internal accounting controls provisions of the federal securities laws.
The complaint also charges SAE with violating the reporting provisions of the federal securities laws and the four executives with aiding and abetting those violations.
Additionally, the SEC seeks to have Hastings, Whiteley, and Beatty reimburse SAE for incentive-based compensation pursuant to Section 304(a) of the Sarbanes-Oxley Act."
SEC,2020-10-07T15:45:00Z,https://www.sec.gov/news/press-release/2020-250,"SEC Names Nichola L. Timmons Chief of New Office of Bankruptcy, Collections, Distributions, and Receiverships","FOR IMMEDIATE RELEASE2020-250The Securities and Exchange Commission today announced that Nichola L. Timmons has been named Chief of the newly-formed Office of Bankruptcy, Collections, Distributions, and Receiverships in the Division of Enforcement.
As Chief of the office, Ms. Timmons will oversee the bankruptcy, collection, distribution, and receivership functions and the staff currently dedicated to those functions.
Since 2018, Ms. Timmons has served as Supervisory Trial Counsel, leading the SEC’s distribution function.
During her career with the SEC, Ms. Timmons has overseen numerous complex investigations and litigated matters related to distributions, collections, and receiverships, and is the agency’s expert in distribution matters.
Ms. Timmons spearheaded the centralization of the SEC’s distribution function, building expertise and improving speed and efficiency in the distributions process."
SEC,2020-10-07T13:31:00Z,https://www.sec.gov/news/press-release/2020-249,SEC to Hold National Compliance Outreach Seminar for Investment Companies and Investment Advisers Virtually,"FOR IMMEDIATE RELEASE2020-249The Securities and Exchange Commission today announced that it has rescheduled its compliance outreach program's national seminar for investment companies and investment advisers to Nov. 19, 2020.
This program is intended to help Chief Compliance Officers (CCOs) and other senior personnel at investment companies and investment advisory firms enhance their compliance programs for the protection of investors.
The November program will be offered as a live webcast—both speakers and attendees will be participating in the program remotely.
Topics will include: program priorities in 2020, business continuity and information security, issues regarding conflicts of interest, regulatory hot topics, and topics specific to investment companies.
""The Division of Investment Management welcomes the opportunity to engage with compliance professionals as we consider policies affecting investment companies and investment advisers,"" said IM Director Dalia Blass."
SEC,2020-10-07T12:05:48Z,https://www.sec.gov/news/press-release/2020-248,SEC Proposes Conditional Exemption for Finders Assisting Small Businesses with Capital Raising,"The proposal would create two classes of finders, Tier I Finders and Tier II Finders, that would be subject to conditions tailored to the scope of their respective activities.
The proposed exemption would create two classes of exempt Finders, Tier I Finders and Tier II Finders, that would be subject to conditions tailored to the scope of their respective activities.
Tier I and Tier II Finders would both be permitted to accept transaction-based compensation under the terms of the proposed exemption.
Conditions for Both Tier I and Tier II FindersBoth Tier I and Tier II Finders would be subject to certain conditions.
A Finder could not rely on this proposed exemption to engage in broker activity beyond the scope of the proposed exemption."
SEC,2020-10-07T09:00:00Z,https://www.sec.gov/news/press-release/2020-247,SEC Updates Regulatory Framework for Fund of Funds Arrangements,"These modifications reflect the Commission’s decades of experience with fund of funds arrangements and will create a consistent and efficient rules-based regime for the formation and oversight of funds of funds.
An acquiring fund that is part of the same fund group as the acquired fund and an acquiring fund that has a sub-adviser that acts as adviser to the acquired fund will not be subject to the control and voting conditions.
An acquiring fund that is part of the same fund group as the acquired fund and an acquiring fund that has a sub-adviser that acts as adviser to the acquired fund will not be subject to the control and voting conditions.
To address concerns that an acquiring fund could exert undue influence over an acquired fund or charge duplicative fees and expenses, the rule will require certain evaluations and findings be made before the acquiring fund invests in an acquired fund.
To address concerns that an acquiring fund could exert undue influence over an acquired fund or charge duplicative fees and expenses, the rule will require certain evaluations and findings be made before the acquiring fund invests in an acquired fund."
SEC,2020-10-05T17:30:00Z,https://www.sec.gov/news/press-release/2020-246,SEC Charges John McAfee With Fraudulently Touting ICOs,"According to the SEC’s complaint, McAfee promoted multiple ICOs on Twitter, allegedly pretending to be impartial and independent even though he was paid more than $23 million in digital assets for the promotions.
When certain investors asked whether he was paid to promote the ICOs, McAfee allegedly denied receiving any compensation from the issuers.
Watson was allegedly paid at least $316,000 for his role.
According to the complaint, while McAfee and Watson profited, investors were left holding digital assets that are now essentially worthless.
The Tax Division of the Department of Justice announced today that it brought criminal charges against McAfee."
SEC,2020-10-05T17:00:00Z,https://www.sec.gov/news/press-release/2020-245-0,SEC Staff Releases Report on U.S. Credit Market Interconnectedness and the Effects of the COVID-19 Economic Shock,"The staff report also addresses how the related interconnections in our credit markets operated as the effects of the COVID-19 pandemic took hold.
In the U.S. credit markets, banking and non-banking entities and intermediaries are intricately and inextricably interconnected.
The report identifies these interconnections and, with that framework, discusses how the COVID-19 economic shock reverberated through the credit markets in March and April 2020.
Those actions were instrumental in ameliorating stress in the credit markets, particularly the short-term funding markets.
The COVID-19 economic shock reverberated through the credit markets in March/April 2020 and the ripple effects continue to be felt."
SEC,2020-10-05T12:00:00Z,https://www.sec.gov/news/press-release/2020-244,SEC’s Messages for World Investor Week 2020,"While all WIW outreach will be virtual this year, the SEC’s steadfast commitment to educate and inform investors remains the same.
“On a daily basis, SEC staff engage with Main Street investors to help them make better and more informed investment decisions,” said SEC Chairman Jay Clayton.
“During World Investor Week, we will continue to promote key principles that drive investor satisfaction and success—focusing on long-term investing; understanding key financial concepts such as diversification, compounding and limiting fees and expenses; and asking questions to and conducting research on your financial professional.
The SEC is leading U.S. efforts, along with the U.S. Commodity Futures Trading Commission (CFTC) and the Financial Industry Regulatory Authority (FINRA).
In addition, staff will highlight the importance of conducting due diligence when contemplating investments in online and digital environments."
SEC,2020-10-01T17:40:00Z,https://www.sec.gov/news/press-release/2020-243,SEC Issues Agenda for Oct. 5 Meeting of the Fixed Income Market Structure Advisory Committee,"FOR IMMEDIATE RELEASE2020-243The Securities and Exchange Commission today released the agenda for the Oct. 5 meeting of the Fixed Income Market Structure Advisory Committee (FIMSAC).
The meeting will focus on discussions regarding recent market volatility and the impact of COVID-19 on the corporate bond market, the bond fund and ETF market, the technology and e-trading market, and the municipal securities market.
The Commission established the FIMSAC to provide advice and recommendations on fixed income market structure issues.
###SEC Fixed Income Market Structure Advisory CommitteeAgendaOct. 5, 20209:30 a.m.
Recommendation Regarding Defining Electronic Trading10:15 a.m. Corporate Bond Market Observations and Lessons Learned11:30 a.m. Municipal Securities Market Observations and Lessons Learned12:45 p.m."
SEC,2020-09-30T16:45:00Z,https://www.sec.gov/news/press-release/2020-242,SEC Charges Hospitality Company for Failing to Disclose Executive Perks,"FOR IMMEDIATE RELEASE2020-242The Securities and Exchange Commission today announced settled charges against Virginia-based hospitality company Hilton Worldwide Holdings Inc. for failing to fully disclose perquisites and personal benefits provided to executive officers.
According to the SEC’s order, Hilton failed to disclose approximately $1.7 million worth of travel-related perquisites and personal benefits it provided to executive officers from 2015 through 2018.
The perquisites included the CEO’s personal use of Hilton’s corporate aircraft and executive officers’ hotel stays.
“We remain focused on ensuring companies provide required disclosures, including those relating to travel-related perks and personal benefits,” said Stephanie Avakian, Director of the SEC’s Division of Enforcement.
Without admitting or denying the SEC’s findings, Hilton consented to the SEC’s cease-and-desist order, which requires Hilton to pay a $600,000 civil penalty."
SEC,2020-09-30T16:08:00Z,https://www.sec.gov/news/press-release/2020-241,SEC Charges HP Inc. With Disclosure Violations and Control Failures,"FOR IMMEDIATE RELEASE2020-241The Securities and Exchange Commission today announced charges against technology company HP Inc. for misleading investors by failing to disclose the impact of sales practices undertaken in an effort to meet quarterly sales and earnings targets.
HP has agreed to pay $6 million to settle the charges.
The order finds that HP failed to disclose known trends and uncertainties associated with these sales practices.
The SEC's order finds that HP violated the antifraud, reporting and disclosure controls provisions of the federal securities laws.
Without admitting or denying the SEC's findings, HP consented to a cease-and-desist order and to pay a $6 million penalty."
SEC,2020-09-30T14:11:00Z,https://www.sec.gov/news/press-release/2020-240,SEC Whistleblower Program Ends Record-Setting Fiscal Year With Four Additional Awards,"This year the SEC has made a record 39 individual awards of approximately $175 million, more than in any prior fiscal year.
The whistleblower provided critical information and supporting evidence that conserved SEC time and resources.
This whistleblower provided extensive and ongoing assistance to the investigative team over the course of the investigation.
No money has been taken or withheld from harmed investors to pay whistleblower awards.
Whistleblower awards can range from 10-30% of the money collected when the monetary sanctions exceed $1 million."
SEC,2020-09-30T11:15:00Z,https://www.sec.gov/news/press-release/2020-239,SEC Awards Almost $30 Million to Two Insider Whistleblowers,"FOR IMMEDIATE RELEASE2020-239The Securities and Exchange Commission today announced an award of almost $30 million to two insider whistleblowers whose tips led SEC staff to open an investigation.
The second whistleblower provided additional valuable information, and received an award of approximately $7 million.
No money has been taken or withheld from harmed investors to pay whistleblower awards.
Whistleblower awards can range from 10 percent to 30 percent of the money collected when the monetary sanctions exceed $1 million.
As set forth in the Dodd-Frank Act, the SEC protects the confidentiality of whistleblowers and does not disclose information that could reveal a whistleblower’s identity."
SEC,2020-09-30T08:55:00Z,https://www.sec.gov/news/press-release/2020-238,Morgan Stanley Agrees to Pay $5 Million for Reg SHO Violations in Prime Brokerage Swaps Business,"FOR IMMEDIATE RELEASE2020-238The Securities and Exchange Commission today announced settled charges against Morgan Stanley & Co. LLC for violations of Regulation SHO, the regulatory framework governing short sales.
According to the SEC’s order, the structure of Morgan Stanley’s prime brokerage swaps business resulted in violations of Reg SHO.
The order finds that the failure to do so resulted in Morgan Stanley improperly marking certain sell orders in violation of Reg SHO.
“For many years, Morgan Stanley has improperly relied on Reg SHO’s aggregation unit exception, resulting in orders being mismarked for countless transactions.”The order charges Morgan Stanley with violating Rule 200(g) of Reg SHO.
Without admitting or denying the findings, Morgan Stanley consented to a cease-and-desist order imposing a censure and a $5 million penalty."
SEC,2020-09-29T19:00:48Z,https://www.sec.gov/news/press-release/2020-237,SEC Charges Manitex International and Three Former Senior Executives With Accounting Fraud,"According to the SEC’s orders, Manitex improperly accounted for and misled its outside auditor about nonexistent inventory.
As a result, the orders find, Manitex materially overstated its 2014 operating and pre-tax income.
According to the orders, Manitex also improperly recognized revenue from and misled its outside auditor about approximately $12 million in purported “bill and hold” crane sales.
Without admitting or denying the orders’ findings, they agreed to cease and desist from future violations of the charged provisions and Manitex, Rooke, and Schneider agreed to pay civil penalties totaling $485,000.
Rooke, Schneider and Harrison agreed to bars from serving as officers or directors of public companies, and Rooke and Schneider agreed to suspensions from appearing or practicing before the SEC as accountants."
SEC,2020-09-29T15:30:00Z,https://www.sec.gov/news/press-release/2020-236,SEC Charges Former Real Estate Executive With Misappropriating $26 Million in Ponzi Scheme,"The complaint further alleges that he personally misappropriated more than $26 million of investor money, including to purchase a vacation home and to invest in a failed land development deal.
The SEC's Office of Investor Education and Advocacy encourages investors to ask questions before investing and to review investor alerts on frauds targeting seniors and Ponzi scheme red flags.
The SEC's complaint, filed in the U.S. District Court for the Northern District of California, charges Wallach with violating the antifraud provisions of the federal securities laws.
In a parallel action, the U.S. Attorney's Office for the Northern District of California today filed criminal charges against Wallach arising from the same conduct alleged by the SEC.
The SEC appreciates the assistance of the U.S. Attorney's Office for the Northern District of California and the Federal Bureau of Investigation."
