headline,link,time stamp,abstract,website name
SEC Proposes Conditional Exemption for Finders Assisting Small Businesses with Capital Raising,https://www.sec.gov/news/press-release/2020-248,"Wed, 07 Oct 2020 12:05:48 -0400","The Securities and Exchange Commission today voted to propose a new limited, conditional exemption from broker registration requirements for “finders” who assist issuers with raising capital in private markets from accredited investors. If adopted, the proposed exemption would permit natural persons to engage in certain limited activities involving accredited investors without registering with the Commission as brokers. The proposed exemption seeks to assist small businesses to raise capital and to provide regulatory clarity to investors, issuers, and the finders who assist them.",SEC
SEC Updates Regulatory Framework for Fund of Funds Arrangements,https://www.sec.gov/news/press-release/2020-247,"Wed, 07 Oct 2020 09:00:00 -0400",The Securities and Exchange Commission today voted to adopt a new rule and related amendments designed to put in place a comprehensive regulatory framework for fund of funds arrangements. The rule also reflects the Commission’s decades of experience with fund of funds arrangements and will create a consistent and efficient rules-based regime for the formation and oversight of funds of funds.,SEC
SEC Charges John McAfee With Fraudulently Touting ICOs,https://www.sec.gov/news/press-release/2020-246,"Mon, 05 Oct 2020 17:30:00 -0400","The Securities and Exchange Commission today charged businessman and computer programmer John McAfee for promoting investments in initial coin offerings (ICOs) to his Twitter followers without disclosing that he was paid to do so. McAfee’s bodyguard, Jimmy Watson, Jr., was also charged for his role in the alleged scheme.",SEC
SEC Staff Releases Report on U.S. Credit Market Interconnectedness and the Effects of the COVID-19 Economic Shock,https://www.sec.gov/news/press-release/2020-245-0,"Mon, 05 Oct 2020 17:00:00 -0400","The Securities and Exchange Commission todaypublished a staff report titled U.S. Credit Markets: Interconnectedness and the Effects of the COVID-19 Economic Shock,which focuses on the origination, distribution and secondary market flow of credit across U.S. credit markets. The staff report also addresses how the related interconnections in our credit markets operated as the effects of the COVID-19 pandemic took hold. In addition, staff will host a Roundtable on Interconnectedness and Risk in U.S. Credit Markets to discuss the issues raised in the report on the afternoon of Oct.14.",SEC
SEC’s Messages for World Investor Week 2020,https://www.sec.gov/news/press-release/2020-244,"Mon, 05 Oct 2020 12:00:00 -0400","As World Investor Week (WIW) 2020 kicks off, the Securities and Exchange Commission today announced that staff will engage with Main Street investors to emphasize the importance of two particularly relevant investing topics−planning for life’s unexpected challenges and investing for the long term in times of uncertainty and market volatility.",SEC
SEC Issues Agenda for Oct. 5 Meeting of the Fixed Income Market Structure Advisory Committee,https://www.sec.gov/news/press-release/2020-243,"Thu, 01 Oct 2020 17:40:00 -0400","The Securities and Exchange Commission today released the agenda for the Oct. 5 meeting of the Fixed Income Market Structure Advisory Committee (FIMSAC). The meeting will focus on discussions regarding recent market volatility and the impact of COVID-19 on the corporate bond market, the bond fund and ETF market, the technology and e-trading market, and the municipal securities market. The committee will also consider a recommendation concerning the definition of electronic trading for regulatory purposes, and the meeting will include member observations of the fixed income markets and the Committee’s work. The Commission established the FIMSAC to provide advice and recommendations on fixed income market structure issues.",SEC
SEC Charges Hospitality Company for Failing to Disclose Executive Perks,https://www.sec.gov/news/press-release/2020-242,"Wed, 30 Sep 2020 16:45:00 -0400",The Securities and Exchange Commission today announced settled charges against Virginia-based hospitality company Hilton Worldwide Holdings Inc. for failing to fully disclose perquisites and personal benefits provided to executive officers. The action was generated by the Division of Enforcement’s use of risk-based data analytics to uncover potential violations related to corporate perquisites.,SEC
SEC Charges HP Inc. With Disclosure Violations and Control Failures,https://www.sec.gov/news/press-release/2020-241,"Wed, 30 Sep 2020 16:08:00 -0400",The Securities and Exchange Commission today announced charges against technology company HP Inc. for misleading investors by failing to disclose the impact of sales practices undertaken in an effort to meet quarterly sales and earnings targets.HP has agreed to pay $6 million to settle the charges.,SEC
SEC Whistleblower Program Ends Record-Setting Fiscal Year With Four Additional Awards,https://www.sec.gov/news/press-release/2020-240,"Wed, 30 Sep 2020 14:11:00 -0400","The Securities and Exchange Commission today announced awards to four individuals for total payments of almost $5 million.Each of these whistleblowers provided critical information that alerted the Commission of the alleged wrongdoing and resulted in successful enforcement action.This year the SEC has made a record 39 individual awards of approximately $175 million, more than in any prior fiscal year.",SEC
SEC Awards Almost $30 Million to Two Insider Whistleblowers,https://www.sec.gov/news/press-release/2020-239,"Wed, 30 Sep 2020 11:15:00 -0400","The Securities and Exchange Commission today announced an award of almost $30 million to two insider whistleblowers whose tips led SEC staff to open an investigation. The first whistleblower, who was the first to alert SEC staff of potential wrongdoing and provided substantial, ongoing assistance, received an award of approximately $22 million. The second whistleblower provided additional valuable information, and received an award of approximately $7 million.",SEC
Morgan Stanley Agrees to Pay $5 Million for Reg SHO Violations in Prime Brokerage Swaps Business,https://www.sec.gov/news/press-release/2020-238,"Wed, 30 Sep 2020 08:55:00 -0400","The Securities and Exchange Commission today announced settled charges against Morgan Stanley & Co. LLC for violations of Regulation SHO, the regulatory framework governing short sales.",SEC
SEC Charges Manitex International and Three Former Senior Executives With Accounting Fraud,https://www.sec.gov/news/press-release/2020-237,"Tue, 29 Sep 2020 19:00:48 -0400","The Securities and Exchange Commission today announced settled charges against Manitex International, Inc., a Bridgeview, Illinois manufacturer and distributor of cranes, forklifts and heavy equipment, and three of its former senior executives for two accounting fraud schemes that resulted in the issuance of materially misstated financial statements.",SEC
