Website,Headline,Link,Paragraph,Image URL,Timestamp,Summary,Topic
Compliance Week,CFTC guidance details path to reduced enforcement penalties,https://www.complianceweek.com/regulatory-policy/cftc-guidance-details-path-to-reduced-enforcement-penalties/29665.article,,,2020-10-29T17:39:00+00:00,"The Commodity Futures Trading Commission (CFTC) on Thursday issued guidance that spells out how companies that self-report violations, cooperate with investigators, and remediate their issues can qualify for a “substantially reduced penalty” on any subsequent enforcement action.
There would be no consideration of a reduced penalty under this scenario.
There would be no consideration of a reduced penalty under this scenario.
In this scenario, a company would receive a public acknowledgment from the CFTC on its cooperation but no reduction in the penalty.
In this scenario, a company would receive a public acknowledgment from the CFTC on its cooperation but no reduction in the penalty.",Regulatory Enforcement
Compliance Week,"Bribes, falsified records cost Beam Suntory $19.6M in FCPA settlement",https://www.complianceweek.com/regulatory-enforcement/bribes-falsified-records-cost-beam-suntory-196m-in-fcpa-settlement/29661.article,,,2020-10-28T18:43:00+00:00,"Alcoholic beverage maker Beam Suntory has agreed to pay $19.6 million to resolve Foreign Corrupt Practices Act (FCPA) charges of improper payments by its Indian subsidiary brought by the Department of Justice.
According to court documents unsealed Tuesday, from 2006 through 2012, Beam India paid bribes and made other improper payments to various Indian government officials in order to obtain or retain business in the Indian market.
“We are pleased to move past this matter,” said Beam Suntory General Counsel Todd Bloomquist in an emailed statement.
“Beam also maintained falsely recorded expenses, including corrupt payments concealed as commission expenses, and falsified certifications, including false sub-certification letters submitted under the Sarbanes-Oxley Act of 2002, in its consolidated books, records, and accounts,” the DOJ noted.
However, Beam agreed to enhance its compliance program and report to the government on the implementation of the enhancements.",Regulatory Enforcement
Compliance Week,U.K.’s SFO lays out expectations in new DPA guidance,https://www.complianceweek.com/regulatory-enforcement/uks-sfo-lays-out-expectations-in-new-dpa-guidance/29656.article,,,2020-10-27T19:28:00+00:00,"The U.K. Serious Fraud Office (SFO) has published its latest internal guidance on the threshold companies must meet before they are offered a deferred prosecution agreement (DPA).
A DPA is a court-approved agreement between a company and a prosecutor at the SFO or Crown Prosecution Service.
“There does not appear to be anything new and substantial enough in the guidance that would change advice lawyers may give their corporate clients.
As with the last set of guidance the SFO released in August 2019, the agency makes it clear it is in charge of offering DPAs—companies cannot ask for one, even if they self-report.
The SFO also makes it clear it will not go soft on fines if a company agrees to a DPA.",Regulatory Enforcement
Compliance Week,Experian to appeal ICO enforcement notice over data protection failures,https://www.complianceweek.com/regulatory-enforcement/experian-to-appeal-ico-enforcement-notice-over-data-protection-failures/29650.article,,,2020-10-27T15:58:00+00:00,"The ICO said the enforcement notice, which is not a fine, follows a two-year investigation into how Experian, Equifax, and TransUnion use personal data within their “offline” data-broking businesses for direct marketing purposes.
The ICO said it found “significant data protection failures” at each CRA.
Furthermore, the personal data being provided to each CRA “was being used in limited ways for marketing purposes,” the ICO said.
By January 2021, Experian must stop using personal data derived from the credit referencing side of its business.
Not implementing these changes could result in an enforcement action against Experian under the GDPR, the ICO said.",Regulatory Enforcement
Compliance Week,Purdue Pharma case more than an $8B fine,https://www.complianceweek.com/regulatory-enforcement/purdue-pharma-case-more-than-an-8b-fine/29640.article,,,2020-10-23T20:45:00+01:00,"At more than $8 billion, Purdue Pharma’s settlement with the Department of Justice announced Wednesday to resolve a long-running investigation into the company’s role in the opioid crisis certainly catches the eye.
The DOJ’s enforcement against Purdue is by far the largest in its crackdown on the nationwide opioid epidemic, but it certainly isn’t the first.
Purdue has also agreed to a settlement in the amount of $2.8 billion to resolve its civil liability under the False Claims Act (FCA).
“The civil settlement was entered into to avoid the delay, uncertainty, and expense of protracted litigation,” Purdue said.
The Sackler family, all members of which have resigned from the Purdue board, agreed to pay $225 million in damages to resolve their civil FCA liability in the DOJ’s case.",Regulatory Enforcement
Compliance Week,Compliance lessons from Goldman Sachs’ $2.9B 1MDB settlement,https://www.complianceweek.com/regulatory-enforcement/compliance-lessons-from-goldman-sachs-29b-1mdb-settlement/29638.article,,,2020-10-23T15:05:00+01:00,"The FCA/PRA stake was a fine of £96.6 million (U.S. $126 million) for risk management failures at Goldman Sachs International.
Goldman Sachs Group, however, avoided a guilty plea and instead entered a three-year deferred prosecution agreement with the Justice Department.
Compliance lessons aboundThere are many compliance lessons to garner from Goldman Sachs’ involvement in the 1MDB scandal, as described by enforcement authorities.
Previously, Tim Leissner, the former Southeast Asia chairman and participating managing director of Goldman Sachs, pleaded guilty to conspiring to launder money and to violate the FCPA.
“This has been a long process and we are pleased to be putting these matters behind us,” Goldman Sachs Chairman and CEO David Solomon said in a statement.",Regulatory Enforcement
Compliance Week,SEC Commissioner Hester Peirce mulling CCO liability framework,https://www.complianceweek.com/regulatory-enforcement/sec-commissioner-hester-peirce-mulling-cco-liability-framework/29637.article,,,2020-10-22T19:37:00+01:00,"Determining chief compliance officer liability has been something of a moving target for the Securities and Exchange Commission in recent years.
SEC Commissioner Hester Peirce is aware of the mixed messages this could cause and is considering taking action to address it.
“A framework detailing which circumstances will cause the Commission to seek personal liability and which circumstances will militate against seeking personal liability would help the compliance community by eliminating uncertainty and inspiring good practices,” Peirce said.
Creating a framework would give the SEC something to refer to in these instances, in addition to providing chief compliance officers a rosier look at the importance of the job and what can be accomplished.
“By providing sufficient detail when we do not charge a compliance officer, we illustrate what doing the job right looks like,” Peirce said.",Regulatory Enforcement
Compliance Week,Berkshire Hathaway fined $4.1M for Iran sanctions violations,https://www.complianceweek.com/sanctions/berkshire-hathaway-fined-41m-for-iran-sanctions-violations/29632.article,,,2020-10-21T16:59:00+01:00,"The U.S. Department of the Treasury’s Office of Foreign Assets Control (OFAC) assessed a $4.1 million fine against Berkshire Hathaway on Tuesday for “egregious” violations of sanctions against Iran committed by a subsidiary in Turkey.
According to OFAC’s enforcement order, Berkshire subsidiary Iscar Kesici Takim Ticareti ve Imalati Limited Sirket (Iscar Turkey) violated U.S. sanctions against Iran 144 times between December 2012 and January 2016.
“OFAC determined that Berkshire voluntarily self-disclosed the apparent violations on behalf of Iscar Turkey, and that the apparent violations constitute an egregious case,” the press release said.
OFAC said its investigation found the sanctions violations were orchestrated by the general manager of Iscar Turkey, who believed U.S. sanctions against Iran would be lifted eventually and wanted to position the company to sell products in Iran when that occurred.
As part of the settlement, Berkshire agreed to implement and maintain sanctions compliance measures for five years.",Regulatory Enforcement
Compliance Week,What would a Democratic regulatory agenda look like under Biden?,https://www.complianceweek.com/regulatory-policy/what-would-a-democratic-regulatory-agenda-look-like-under-biden/29610.article,,,2020-10-20T17:00:00+01:00,"If Biden wins, and the Democrats hold the House and take the Senate, the Congressional Review Act (CRA) could be used to nullify Trump administration regulations that were passed after June 1.
(The Trump administration used the CRA to nullify 16 Obama regulations when it controlled Congress in 2017).
“The Trump administration believes in lower or non-existent checks and balances on the executive branch of government,” said Keith Darcy, a compliance consultant.
While Clayton’s nomination has floundered in the Senate, he has spent the last three years implementing business-friendly rules that simplify SEC regulations.
Consumer Financial Protection Bureau—and a new credit agencyNowhere is the Democratic agenda more clear than its plans for the Consumer Financial Protection Bureau (CFPB).",Regulatory Enforcement
Compliance Week,Bitcoin platform operator fined $60M for AML violations,https://www.complianceweek.com/regulatory-enforcement/bitcoin-platform-operator-fined-60m-for-aml-violations/29620.article,,,2020-10-19T21:23:00+01:00,"Helix functioned as a bitcoin “mixer,” which allows customers to pay to send bitcoin in a manner that conceals the source of the owner of the virtual currency.
From June 2014 through December 2017, Helix operated in this manner on the darknet while violating the BSA’s registration and reporting requirements.
Specifically, Helix “(a) failed to register as a money services business; (b) failed to implement and maintain an effective [AML] program; and (c) failed to report certain suspicious activity,” FinCEN stated.
The company did not develop an AML program, didn’t have a compliance officer, and never filed a single suspicious activity report (SAR) despite FinCEN identifying nearly 250,000 instances in which suspicious transactions took place.
The $60 million penalty is the first to be levied by FinCEN against a bitcoin mixer.",Regulatory Enforcement
Compliance Week,Anatomy of a 90% fine reduction: How BA saved $200M on GDPR penalty,https://www.complianceweek.com/regulatory-enforcement/anatomy-of-a-90-fine-reduction-how-ba-saved-200m-on-gdpr-penalty/29611.article,,,2020-10-16T19:44:00+01:00,"The penalty notice does not provide details why the two figures are so far apart, other than to say the regulator is not obliged to rely on the sum it initially quoted in its intention to fine notice.
The penalty was further reduced to £20 million due to the airline’s dented financial position because of the coronavirus pandemic.
The penalty notice also acknowledges BA’s spirited defense against the ICO’s original record fine.
Others are simply baffled a fine could be cut by nearly 90 percent so quickly.
[The reduction] cannot look like anything other than a huge capitulation on the part of the regulator.”",Regulatory Enforcement
Compliance Week,USAA $85M fine for compliance failures lacks justification,https://www.complianceweek.com/opinion/usaa-85m-fine-for-compliance-failures-lacks-justification/29606.article,,,2020-10-16T15:58:00+01:00,"The Office of the Comptroller of the Currency (OCC) recently assessed a hefty $85 million civil penalty against USAA Federal Savings Bank resulting from failures in its compliance risk management program.
But both sides remain curiously tightlipped about the specific consumer law violations that occurred and the extent of harm done.
More noteworthy than the fine is the lack of detail around it, which begs more questions than answers:In what specific ways did USAA fail to implement and maintain “an effective compliance risk management program and an effective IT risk governance program”?
In what specific ways did USAA violate the MLA and SCRA?
USAA insisted its issues “do not reflect an effort to avoid providing benefits and/or protections.” The $85 million OCC penalty suggests the opposite.",Regulatory Enforcement
Compliance Week,Brazilian meatpacker’s FCPA settlement details widespread corruption,https://www.complianceweek.com/regulatory-enforcement/brazilian-meatpackers-fcpa-settlement-details-widespread-corruption/29604.article,,,2020-10-15T17:00:00+01:00,"J&F Investimentos, a Brazilian holding company, has agreed to pay a criminal penalty of $256.5 million for its role in a widespread corruption scheme that took place over several years.
J&F will pay half of its penalty (about $128 million) to U.S. authorities.
The SEC order found the Batistas engaged in a bribery scheme, in part, to facilitate JBS’s 2009 acquisition of U.S. chicken producer Pilgrim’s Pride.
“Although Joesley and Wesley Batista signed the Code of Conduct prohibiting bribery, neither received any anti-corruption or ethics training,” the SEC order stated.
Editor’s note: This story has been updated to note a Brazilian court in May authorizing the return of the Batista brothers to J&F.",Regulatory Enforcement
Compliance Week,Deutsche Bank fined $15.9M for lag in reporting suspicious transactions,https://www.complianceweek.com/regulatory-enforcement/deutsche-bank-fined-159m-for-lag-in-reporting-suspicious-transactions/29598.article,,,2020-10-14T15:57:00+01:00,"The Frankfurt Prosecutor’s Office announcement was connected to the Danske Bank money laundering scandal that saw €200 billion in tainted money flow through Danske’s Estonian subsidiary.
German investigators were apparently interested to learn how much of that money was flowing through Deutsche Bank and whether Deutsche alerted authorities soon enough about the suspicious transactions.
The German bank processed about four-fifths of the suspicious transactions from 2007 to 2015, the story said.
In a statement Deutsche Bank said it terminated its relationship with Danske Bank Estonia in 2015 and that it “fully cooperated” with the German investigation.
“With the closure of these proceedings it is clear that there was no evidence of criminal misconduct either on the part of Deutsche Bank or its employees,” said Stefan Simon, member of the management board of Deutsche Bank.",Regulatory Enforcement
Compliance Week,Ex-KPMG partner avoids prison in cheating scandal sentencing,https://www.complianceweek.com/accounting-and-auditing/ex-kpmg-partner-avoids-prison-in-cheating-scandal-sentencing/29593.article,,,2020-10-13T20:10:00+01:00,"Former KPMG partner David Britt has been sentenced to six months of home confinement for his role in a cheating scandal that has haunted the Big Four audit firm for two years and is now finally nearing its end.
“Using the playbook he illicitly acquired, Britt used that information to improve the results of his firm’s audits,” said former U.S. Attorney Geoffrey Berman following Britt’s guilty plea.
Britt was the last of the five central KPMG figures at the heart of the cheating scandal to either plead guilty or be found guilty by a jury.
Middendorf was sentenced to one year and one day in federal prison and three years of supervised release for his leading role in the scheme, and Holder was sentenced to eight months in federal prison and two years of supervised release.
KPMG in June 2019 reached a $50 million settlement with the SEC related to the scandal.",Regulatory Enforcement
Compliance Week,DOJ official: ‘Inability to pay’ playing more prominent role in criminal cases,https://www.complianceweek.com/regulatory-enforcement/doj-official-inability-to-pay-playing-more-prominent-role-in-criminal-cases/29592.article,,,2020-10-09T19:27:00+01:00,"Revenue constraints faced by companies due to the coronavirus pandemic are factoring more prominently into settlement discussions with the Department of Justice.
“We certainly have seen arguments raised—claims raised—about ability to pay during the pandemic,” Rabbitt said.
Consistent with its policy, the Criminal Division first will determine a form of resolution—for example, a deferred prosecution agreement, a non-prosecution agreement, or guilty plea.
The DOJ will weigh the policy only if such a request is made, but the burden rests upon the company to demonstrate its inability to pay.
In reaching the settlement, JPMorgan’s commitment to compliance was an important factor in terms of not requiring an independent compliance monitor, Rabbit said.",Regulatory Enforcement
Compliance Week,SAExploration accused of $100M accounting fraud,https://www.complianceweek.com/regulatory-enforcement/saexploration-accused-of-100m-accounting-fraud/29591.article,,,2020-10-09T16:08:00+01:00,"Houston-based seismic data company SAExploration Holdings (SAE) has been accused by the Securities and Exchange Commission (SEC) of perpetrating a $100 million accounting fraud that involved routing payments through shell companies so it appeared to be legitimate revenue.
ASV was purported to be an independent seismic data library that would identify potential underground oil and gas deposits on speculation, then sell mining rights to oil and gas companies.
Beatty and Scott either knew of the fraud or “were reckless in not knowing,” the SEC said.
Hastings allegedly stole another $4 million from SAE in an unrelated fraud in which he tricked the company into honoring false invoices from shell companies he created.
Founded in 2006, SAE offers seismic data acquisition, data processing and interpretation, and logistical support services throughout North America, South America, the Asia Pacific, Africa, and the Middle East.",Regulatory Enforcement
Compliance Week,OCC fines Morgan Stanley $60M for data inventory risk failures,https://www.complianceweek.com/regulatory-enforcement/occ-fines-morgan-stanley-60m-for-data-inventory-risk-failures/29590.article,,,2020-10-08T20:51:00+01:00,"According to the OCC’s consent order, Morgan Stanley Bank and Morgan Stanley Private Bank failed to maintain an appropriate inventory of the customer data stored on the hardware in a 2016 decommissioning; failed to recognize the potential risks of a data breach during the decommissioning; and failed to properly assess the potential data breach risks incurred by using third-party subcontractors to conduct the decommissioning.
The OCC added Morgan Stanley experienced similar deficiencies in the decommissioning of wide-area application services devices in 2019.
Morgan Stanley notified potentially impacted customers about its 2016 lapses at the OCC’s direction, while voluntarily notifying potentially impacted customers regarding 2019’s deficiencies.
Morgan Stanley “is committed to taking all necessary and appropriate steps to remedy the deficiencies,” the order said.
In a statement, Morgan Stanley said it has “instituted enhanced security procedures, including continuous fraud monitoring, and will continue to strengthen the controls that we have in place to protect our clients’ information.",Regulatory Enforcement
Compliance Week,"U.S. agencies get nod for using data, smart incentives in enforcement",https://www.complianceweek.com/opinion/us-agencies-get-nod-for-using-data-smart-incentives-in-enforcement/29589.article,,,2020-10-08T17:17:00+01:00,"Nailed ItCFTC: If the government was looking to signal to the business world that it’s getting serious about using data analytics to enhance its enforcement reach, it gave companies nearly a billion reasons to pay attention.
“We could not have brought the JPMorgan case without the data analytics program we have now,” outgoing CFTC Enforcement Director James McDonald told the Wall Street Journal.
The company disclosed this week that it received the notice, which pertains to GE’s legacy insurance portfolio.
Unaddressed, however, is SEC investigations into a $22 billion impairment charge to goodwill and the company’s revenue recognition practices.
While we here at Compliance Week are buoyed by AZ’s optimism that the worldwide coronavirus pandemic will be licked in less than a year, we’re not so pleased their first instinct is to cash in.",Regulatory Enforcement
Compliance Week,"Citigroup fined $400M for compliance, risk management failures",https://www.complianceweek.com/regulatory-enforcement/citigroup-fined-400m-for-compliance-risk-management-failures/29588.article,,,2020-10-08T15:02:00+01:00,"“For several years, the Bank has failed to implement and maintain an enterprise-wide risk management and compliance risk management program, internal controls, or a data governance program commensurate with the Bank’s size, complexity, and risk profile,” the OCC wrote in its consent order.
The agency also identified a number of “unsafe and unsound” practices in those areas and concluded the bank is not adequately monitoring its compliance with federal banking regulations.
The Federal Reserve also issued a related cease and desist order to Citigroup on Wednesday that addressed many of the same issues.
The committee will also have to produce individual reports: a consent order action plan; a data governance gap analysis report; an enterprise-wide risk management plan; a compliance risk management plan; and analyses of the bank’s capital planning and reporting and internal controls.
Just last month, the Commodity Futures Trading Commission fined three Citibank affiliates $4.5 million for deleting audio files that were under subpoena.",Regulatory Enforcement
Compliance Week,World Bank debars Kalpataru Power Transmission for fraud,https://www.complianceweek.com/sanctions/world-bank-debars-kalpataru-power-transmission-for-fraud/29586.article,,,2020-10-07T19:14:00+01:00,"The World Bank on Wednesday announced the debarment of India-based Kalpataru Power Transmission for 12 months and one day for fraudulent practices connected to power development projects in the Democratic Republic of the Congo (DRC) and Egypt.
According to the World Bank, Kalpataru Power Transmission omitted the disclosure of intended payments to third parties when submitting bids under the SAPMP in 2010 and the EWPDP in 2012, actions that are considered fraudulent under the World Bank Consultant Guidelines.
The debarment makes Kalpataru Power Transmission ineligible to participate in projects and operations financed by institutions of the World Bank Group.
Following the initial debarment, the sanction will convert to a conditional non-debarment for five months, the World Bank said.
According to the World Bank, the company received a reduced sanction period due its cooperation and voluntary remedial actions, “including a voluntary restraint from participating in Bank-financed projects.",Regulatory Enforcement
Compliance Week,CFTC announces record enforcement year—and departure of enforcement head,https://www.complianceweek.com/regulatory-enforcement/cftc-announces-record-enforcement-year-and-departure-of-enforcement-head/29583.article,,,2020-10-07T15:42:00+01:00,"On the same day the Commodity Futures Trading Commission (CFTC) celebrated a record-breaking 113 enforcement actions in fiscal year 2020, the agency also announced the impending departure of Enforcement Director James McDonald.
McDonald will leave the Division of Enforcement on Thursday, after more than three years in the director role.
Vincent McGonagle, principal deputy director of the Division of Enforcement, will serve as acting director, the CFTC said.
The CFTC gave no reason for McDonald’s departure, nor did it say what he might do next.
Full details on FY2020 enforcement actions will be available in the division’s annual enforcement report, which will be issued later this year, the CFTC said.",Regulatory Enforcement
Compliance Week,GE facing potential SEC action over accounting issues,https://www.complianceweek.com/regulatory-enforcement/ge-facing-potential-sec-action-over-accounting-issues/29582.article,,,2020-10-07T14:14:00+01:00,"The enforcement blows continue for General Electric, which revealed in a regulatory filing Tuesday that staff of the Securities and Exchange Commission is considering bringing a civil injunctive action against the company regarding accounting issues tied to GE’s legacy insurance portfolio.
GE revealed in 2018 that it was being investigated by the SEC over its accounting practices after a $6.2 billion charge in late 2017 stemming from its GE Capital insurance portfolio.
“The staff has not made a preliminary decision whether to recommend any action with respect to the other matters under investigation,” GE said in its regulatory filing.
“If the SEC were to authorize an action against GE, it could seek an injunction against future violations of provisions of the federal securities laws, the imposition of civil monetary penalties, and other relief within the Commission’s authority,” GE said.
“The results of the Wells Notice and any enforcement action are unknown at this time.”",Regulatory Enforcement
Compliance Week,FINMA orders Banca Credinvest to improve AML measures,https://www.complianceweek.com/regulatory-enforcement/finma-orders-banca-credinvest-to-improve-aml-measures/29579.article,,,2020-10-06T19:56:00+01:00,"The Swiss Financial Market Supervisory Authority (FINMA) announced Tuesday its finding that Banca Credinvest, an independent Swiss bank, “ seriously breached ” anti-money laundering (AML) regulations with regard to dealings with Venezuelan state-owned and state-controlled energy company PDVSA.
Banca Credinvest further “documented the processes incompletely and reported suspicious activity to [money-laundering reporting officers] too late,” FINMA said.
Instead, Banca Credinvest was ordered to enhance its AML compliance measures.
In February 2020, FINMA found AML compliance shortcomings at Julius Baer Group connected to PDVSA—which presents a good case study for compliance officers on what the bank did to enhance its risk management and AML compliance controls.
“FINMA continues to designate money laundering as a major risk to the Swiss financial services industry,” the agency stated.",Regulatory Enforcement
Compliance Week,Travel service company to pay $6M for violating Cuba sanctions,https://www.complianceweek.com/sanctions/travel-service-company-to-pay-6m-for-violating-cuba-sanctions/29565.article,,,2020-10-02T18:10:00+01:00,"Generali Global Assistance, a travel assistance services company, has agreed to pay approximately $5.9 million for violating U.S. sanctions on Cuba in addition to committing to a series of sanctions compliance commitments, the Treasury Department’s Office of Foreign Assets Control (OFAC) announced Thursday.
GGA provided medical expense claims processing and payment services to support the claims paid to Canadian travelers who were insured under a group policy issued by one of those Canadian insurers.
“GGA codified this referral process in its procedures manual, which provided instructions to GGA employees on how to service Canadian travelers’ policies,” according to the settlement agreement.
Compliance commitmentGGA has committed to maintain for at least five years a sanctions compliance program that’s designed to minimize the risk of recurrence of similar conduct in the future.
Any weakness in its internal controls pertaining to sanctions compliance must be remediated.",Regulatory Enforcement
