category,keyword,date,media,title,summary
Rule,anti-money laundering,1 month ago,Transparency International,FinCEN Files: Overhaul to global anti-money laundering system needed,"The FinCEN Files show only the tip of the iceberg that is the global financial system’s vulnerability to abuse by criminals and the corrupt, Transparency International said today.
Maira Martini, Research and Policy Expert on Corrupt Money Flows at Transparency International, said:“The FinCEN Files are further proof that the global anti-money laundering system is broken.
It is not enough to submit poor-quality or delayed Suspicious Activity Reports and continue processing payments.”“However, the problem is actually bigger than the FinCEN Files show.
The FinCEN Files highlight financial institutions in several EU countries that also processed suspicious transactions.
According to ICIJ, banks lacked information about one or more entities behind suspicious transactions in half the SARs filed to authorities."
Rule,anti-money laundering,1 month ago,Reuters,U.S. policymakers seize on FinCEN leaks to press for stepped up money-laundering fight,"“The Buzzfeed story makes clear we need to strengthen, reform and update our nation’s anti-money laundering laws,” Senator Sherrod Brown, the top Democrat on the Senate Banking Committee, said in a statement.
Those SARs are sent to the U.S. Treasury Department’s Financial Crimes Enforcement Network, or FinCEN.
Widespread criticism of anti-money laundering rules first kicked off in 2016, after another set of leaked documents known as the Panama Papers came to light.
The Bank Policy Institute, which represents larger banks, found that only 4% of SARs filed in 2017 merited follow-up from law enforcement.
“There has long been a shared view ... that the (anti-money laundering) framework needs to be modernized,” said Mike Lee, BPI’s chief lobbyist."
Rule,anti-money laundering,4 weeks ago,ZDNet,Westpac agrees to AU$1.3 billion penalty for breaching anti-money laundering laws,"Westpac agrees to AU$1.3 billion penalty for breaching anti-money laundering laws Watch NowWestpac has reached an agreement with the Australian Transaction Reports and Analysis Centre (Austrac) to settle the anti-money laundering and counter terrorism financing allegations that were raised by the watchdog in November 2019.
Should the Federal Court accept the penalty, the bank will pay AU$1.3 billion for breaching the Anti-Money Laundering and Counter-Terrorism Financing Act 2006 (AML/CTF Act) over 23 million times.
Westpac has admitted to the breaches, which include failing to report international funds transfers of more than AU$11 billion.
In its own report into the matter, Westpac in June said a mix of technology and human error and ""deficient financial crime processes"" were to blame for its failure to comply with anti-money laundering obligations.
Australian Attorney-General Christian Porter said the proposed penalty reflected the significant and systematic nature of Westpac's compliance failures."
Rule,anti-money laundering,4 weeks ago,,Westpac Banking Group and Australian anti-money laundering regulator AUSTRAC agree for bank to pay A$1.3 billion penalty for 23 million contraventions of Australia's Anti-Money Laundering and Counter-,"Australia's anti-money laundering regulator AUSTRAC, which brought the case against Westpac, says the Federal Court of Australia will now consider the proposed settlement and penalty.
If the Federal Court agrees the penalty is appropriate, it will be the biggest ever civil penalty in Australian history, AUSTRAC says.
If the Federal Court determines the proposed penalty is appropriate, the penalty order made will represent the largest ever civil penalty in Australian history.
In reaching the agreement, Westpac has also admitted to approximately 76,000 additional contraventions which expand the original statement of claim.
“We have recruited about 200 financial crime people to the group, created a new Group Executive position directly responsible for improving our financial crime capability, and established a new Board Legal, Regulatory and Compliance subcommittee,” he said."
Rule,anti-money laundering,4 weeks ago,Finextra,Westpac hit with record fine for AML breaches,"Australian bank Westpac has become the latest institution to fall foul of anti-money laundering rules after it was slapped with a record fine of A$1.3bn ($0.9bn) by the Australian regulator.
The penalty is a result of a court action last year from the financial intelligence agency Austrac that accused Westpac of breaching its AML and counter terrorist financing (CTF) regulations more than 23m times.
The record penalty, which is still subject to final approval from the federal court, also exceeds the A$900m that Westpac had set aside for the case.
Part of the reason for this is that Westpac also admitted to additional contraventions of AML and CTF rules following the original allegations in November.
Following the imposition of the fine, Westpac's new chief executive Peter King issued a fulsome apology for the bank's past actions."
Rule,anti-money laundering,"May 7, 2020",Reuters,EU executive proposes anti-money laundering body,"BRUSSELS (Reuters) - The European Commission is considering creating a new authority to police financial crime and monitor banks more strictly, it said on Thursday, confirming a Reuters report.
Slideshow ( 3 images )In an action plan sent to the EU’s 27 governments, the Commission, the EU executive, said the Union needed a system to tackle money laundering and financial crime with an EU-level supervisor.
Any EU-level supervision could be run out of the European Banking Authority or done by “a new, dedicated body”, the Commission said.
“To fight money laundering in the financial system effectively, competences must be streamlined in a stand-alone EU anti-money laundering body,” said Markus Ferber, a German centre-right lawmaker who leads on financial matters for the largest political grouping in the European Parliament, the European People’s Party.
All except North Korea have committed to changing their rules in order to better tackle money laundering and terrorism financing."
Rule,anti-money laundering,"Jun 25, 2020",Wall Street Journal,"Swedish Regulator Fines SEB $107 Million, Citing Lax Anti-Money-Laundering Efforts","Sweden’s financial supervisory authority fined Skandinaviska Enskilda Banken AB 1 billion Swedish kronor ($107.3 million) following a delayed review of the bank’s efforts to prevent money laundering at Baltic branches.
The regulator, known as the Finansinspektionen, was investigating the bank’s anti-money-laundering governance and controls in Estonia, Latvia and Lithuania.
In a decision released Thursday, the regulator said SEB didn’t comply with rules on monitoring business relationships and transactions.
PREVIEWThe investigation found that SEB lacked sufficient anti-money-laundering governance, controls and resources at its Baltic subsidiary banks.
The regulator in March found that Swedbank’s Baltic operations had serious anti-money-laundering deficiencies, and fined the bank 4 billion kronor."
Rule,anti-money laundering,"Apr 8, 2020",Brookings Institution,Anti-money laundering rules: An emergency assistance roadblock,"While America’s 30 million small businesses are fighting for their lives against the COVID-19 recession, emergency assistance is facing a roadblock: anti-money laundering (AML) rules.
Economic Security Act” make sure all new loans to small businesses comply with the Know Your Customer (KYC) requirement for anti-money laundering purposes.
The PPP’s roll out on Friday was met with substantial demand and frustration by many small businesses, banks, and business lenders who were unable to access the program.
Most small businesses do not have the cash on hand to survive even rosiest estimates of a COVID-19 quarantine.
Time is of the essence, because most small businesses do not have the cash on hand to survive even rosiest estimates of a COVID-19 quarantine."
Rule,anti-money laundering,"May 29, 2020",ESPN,Cruz Azul directors have bank accounts frozen by anti-money laundering agency,"Brazilian legend Pele explains why winning the World Cup in Mexico was his best memory in a Brazil shirt.
(0:55)Mexico's anti-money laundering agency said Friday it has frozen the personal accounts of some of the top directors of first-division soccer team Cruz Azul, saying that ""unusual movements were detected"" in bank transactions.
It said it was leaving those accounts open ""to safeguard the labor and salary rights"" of the cooperative.
Cruz Azul is one of Mexico's four most popular teams, though it hasn't won a national championship since 1997.
Team spokesman Jorge Hernandez told the Milenio television news channel that the squad had been ""totally transparent"" and suggested the move was the result of a complaint by disgruntled former executives."
Government,Asset Management Unit,2 weeks ago,CNBC,Morgan Stanley to buy Eaton Vance for $7 billion in asset management push,"The headquarters of Morgan Stanley in New York.
Morgan Stanley said on Thursday it would buy asset management firm Eaton Vance for about $7 billion in a cash-and-stock deal that advances Chief Executive James Gorman's push to grow the bank's investment management business.
Morgan Stanley said the acquisition would boost Morgan Stanley Investment Management's assets under management to about $1.2 trillion and revenue to $5 billion.
At an analyst call to discuss the deal, the CEO said Morgan Stanley had been looking at the deal for ""several years"".
Eaton's shares jumped 36.3% to $55.79, while Morgan Stanley was down 2.6% in premarket trading."
Government,Asset Management Unit,2 weeks ago,Barron's,Morgan Stanley to Bolster Asset Management by Buying Eaton Vance,"Just a week after closing its purchase of discount brokerage E*Trade, Morgan Stanley has announced another blockbuster deal.
On Thursday, the Wall Street giant said it had agreed to buy asset manager Eaton Vance in a transaction valued at about $7 billion, as my .
The acquisition will boost Morgan Stanley’s asset management unit, which the..."
Government,Asset Management Unit,2 weeks ago,,Morgan Stanley makes $7B buy,"""Asset management has been an unsung hero inside Camp Morgan Stanley,"" Gorman said in an interview.
Don't expect another big takeover by Morgan Stanley anytime soon, he said.
Eaton Vance shareholders will receive $28.25 per share in cash and 0.5833 of Morgan Stanley common stock, or approximately $56.50 per share.
Based on the $56.50 per share, the amount paid to Eaton Vance shareholders will consist of about 50% cash and 50% Morgan Stanley common stock.
After the acquisition, Morgan Stanley Investment Management will have about $1.2 trillion under management and more than $5 billion in revenue."
Government,Asset Management Unit,"Feb 11, 2020",,"Wells Fargo to replace CEO of wealth, investment management unit","Jonathan G. Weiss, CEO of Wells Fargo's wealth and investment management division, will leave his post to take on a new role at the company under a corporate restructuring, the firm said Tuesday.
Mr. Weiss was named CEO of corporate and investment banking, a business line that was part of wholesale banking before the restructuring, a news release said.
Until his replacement is named, Mr. Weiss will continue to serve as interim CEO of the wealth and investment management unit, which includes Wells Fargo Asset Management, Wells Fargo Advisors, The Private Bank and Abbot Downing.
San Francisco-based Wells Fargo, which previously had three business lines, moves to a new model with five, according to the news release.
The consumer bank will be split into consumer-lending and retail-banking units, while the wholesale bank is to be divided into units for commercial banking, and corporate and investment banking."
Government,Asset Management Unit,"Feb 11, 2020",ThinkAdvisor,Wells Fargo to Replace Wealth Chief in Restructuring,"Wells Fargo CEO Charles Scharf.
(Photo: Kyle Grillot/Bloomberg)Four months into his new role, Wells Fargo CEO Charles Scharf is shaking up the bank structure, including a move to split its three business units into five.
As a result, the Wealth & Investment Management unit — which includes Wells Fargo Advisors — will be getting a new chief.
In addition to WFA, the unit encompasses The Private Bank, Abbot Downing and Wells Fargo Asset Management.
Late last year, another JPMorgan executive, Scott Powell, moved to Wells Fargo to become chief operating officer."
Government,Asset Management Unit,"Feb 12, 2020",Winston-Salem Journal,Wells Fargo CEO’s management shake-up aimed at rebuilding bank’s reputation. Its Winston-Salem-based wealth management unit will get a new top executive.,"The bank has hired Michael Cleary from Santander US for its sales practices oversight and management group “that will establish an integrated and consistent approach to sales practice monitoring, analytics and reporting across the company.”The shake-up is part of Wells Fargo’s latest attempt at restoring customers, analyst and investor confidence as it tries to recover from the fraudulent customer-account scandal that surfaced in September 2016.
“These changes create the right structure to build our businesses over the long term and increase our ability to successfully execute on our top priority, which is the risk, regulatory and control work,” Scharf said.
“I am confident that this organizational model and our strengthened risk and control foundation will bring greater focus and accountability to the company.”Bowman Gray IV, an independent stockbroker based in Winston-Salem, said anything Wells Fargo “can do to improve accountability and corporate governance is very necessary ... after their unethical practices were unearthed in 2016.
“Additionally, all companies that wish to grow cannot rely on doing things the way they have always done them.
It is only prudent to adjust the sails, sometimes dramatically,” Gray said.."
Government,Asset Management Unit,"Jan 21, 2020",Reuters,UPDATE 1-Spain's Sabadell sells asset management unit to Amundi for 430 mln euros,"(Adds details from joint statement)MADRID, Jan 21 (Reuters) - Spain’s Banco de Sabadell has agreed to sell its asset management arm to French asset manager Amundi SA for 430 million euros ($477 million), the companies said on Tuesday.
The deal will be financed through the existing cash of the French asset management company, the statement added.
Amundi, Europe’s biggest asset manager, has been present in Spain since 2002 through its Amundi Iberia subsidiary.
The units of Sabadell Asset Management and Amundi Iberia will remain separate legal entities, the companies said, citing the need to preserve their operations of investment funds and pension plans.
Amundi has grown through sizeable deals in the past, including the purchase of UniCredit’s asset management unit Pioneer Investments, which it bought for 3.6 billion euros in 2016."
Government,Asset Management Unit,1 month ago,Bloomberg,Credit Suisse Uncovers Client Fraud at Wealth Management,"The Swiss lender dismissed a Zurich-based banker who forged documentation on an over-the-counter contract for an African wealth management client, according to people familiar with the matter.
Thomas Gottstein Photographer: Stefan Wermuth/BloombergThe latest scandal follows a restructuring of the risk function at Credit Suisse as chief executive officer Thomas Gottstein seeks to bolster oversight.
International wealth management which caters to Credit Suisse’s wealthy clients outside of Switzerland and Asia, reported provisions for credit losses of 74 million francs in the first six months.
Lescaudron’s activity went undetected by Credit Suisse and his clients for years until a massive wrong-way bet on a Californian drugmaker in 2015 exposed his behavior.
Credit Suisse Chief Takes Window of Opportunity for RevampWealth management head Philipp Wehle has been reviewing the business as part of a wider revamp of the bank."
Government,Asset Management Unit,1 month ago,Reuters,Societe Generale gears up for Lyxor asset management sale - sources,"NEW YORK/LONDON (Reuters) - Societe Generale SOGN.PA is gearing up to launch the sale of its asset management arm Lyxor as the French lender seeks to shore up its finances after two consecutive quarterly losses, two sources familiar with the matter told Reuters.
Societe Generale and Citi declined to comment.
Lyxor had about 132 billion euros ($156 billion) of assets under management at the end of June, with exchanged-traded funds (ETF) representing almost half of its operations.
Societe Generale’s boss Frederic Oudea is trying to strengthen the bank’s capital ratio and may also explore strategic options for its UK wealth management unit, Kleinwort Hambros, another source said.
As part of an asset disposal programme first launched in 2018, Societe Generale has parted ways with assets in Eastern Europe and last year agreed to sell its Nordics-based SG Finans division to Nordea Bank NDAFI.HE for 575 million euros."
Government,Asset Management Unit,3 weeks ago,ThinkAdvisor,Goldman Restructures Wealth Unit,"Stephanie CohenAs part of a new restructuring plan, Goldman Sachs is creating a consumer and wealth-management unit that will be co-led by Stephanie Cohen and Tucker York starting in 2021.
It’s also planning to combine the asset management and merchant banking businesses under the leadership of Eric Lane and Julian Salisbury.
York has been global head of wealth management for the past decade; he started at the firm in 1986 as a private wealth advisor.
As for the leaders of the combined asset management and merchant bank, Lane previously ran the investment management group, which also included Goldman’s consumer and wealth operations.
Salisbury was tapped to lead the merchant bank last year."
Rule,auditor independence rules,4 days ago,Accounting Today,SEC loosens auditor independence rules,"Last December, the SEC proposed changes to the independence rules ( see story ).
“These modernized auditor independence requirements will increase investor protection by focusing audit clients, audit committees and auditors on areas that may threaten an auditor’s objectivity and impartiality.
“It is against this backdrop that the Commission relaxes auditor independence rules for the second time in as many years,” they wrote.
“Our auditor independence rules are far-reaching and restrictive,” he said in a statement .
“We cannot support introducing greater opportunity for error and uncertainty into auditor independence standards while decreasing visibility into how auditors are actually making these judgments."
Rule,auditor independence rules,Blog · 4 days ago,Wall Street Journal,"SEC Approves Changes to Ease Auditor-Independence Rules for Companies, Audit Firms","The U.S. Securities and Exchange Commission adopted changes that relax some conflict-of-interest rules for companies and audit firms, making it easier for them to avoid violating auditor independence in certain situations.
The SEC, however, said the changes won’t loosen the requirements but rather boost audit quality by increasing the number of qualified audit firms from which a company can choose.
The amendment allows companies and auditors to determine whether another portfolio company under the fund is material to the fund.
If they determine it isn’t material, the other portfolio company wouldn’t be considered an affiliate under the rule.
The rule shortens the period during which U.S. companies planning to go public ensure their auditor’s independence before an IPO."
Rule,auditor independence rules,4 days ago,Exchange News Direct,"SEC Updates Auditor Independence Rules, Amendments Reflect Staff Experience Applying The Auditor Independence Framework",
Rule,auditor independence rules,"Jan 2, 2020",Journal of Accountancy,SEC proposes updating auditor independence rules,"Auditor independence rules would change under a new SEC proposal designed to permit relationships in situations when independence is not substantially threatened.
The proposal is designed to permit relationships and services that trigger breaches of the current rules even though they do not pose threats to an auditor’s objectivity and impartiality, according to an SEC news release.
The proposal also intends to prevent potentially time-consuming audit committee reviews of auditor independence issues that are nonsubstantive.
“In practice, the proposed amendments also would increase the number of qualified audit firms an issuer could choose from and permit audit committees and [SEC] staff to better focus on relationships that could impair an auditor’s objectivity and impartiality,” SEC Chairman Jay Clayton said in a news release.
Comments are due 60 days after the proposal is published in the Federal Register."
Rule,auditor independence rules,"Jan 22, 2020",Accounting Today,IESBA proposes major revisions to independence standards for auditors,"The International Ethics Standards Board for Accountants has released two exposure drafts for proposed ethical standards aimed at strengthening the non-assurance services and fee-related independence provisions of the International Code of Ethics for Professional Accountants.
There are also stricter requirements regarding the provision of some non-assurance services, including certain tax and corporate finance advice.
The exposure draft also includes enhanced guidance to help firms evaluate the level of threats to independence when providing non-assurance services to audit clients.
Another provision includes communication of fee-related information to those charged with governance and to the public to help with their judgments about auditor independence.
Both boards are affiliated with the International Federation of Accountants, but have come under pressure to overhaul their governance structure from international audit and financial regulators."
Rule,auditor independence rules,1 month ago,Accounting Today,PCAOB adds projects on auditor independence and audit evidence,"The Public Company Accounting Oversight Board updated its research and standard-setting agendas Tuesday, adding auditor independence to the standard-setting agenda and adding a project on audit evidence to its research agenda.
Changes contemplated in the auditor independence standard would make targeted amendments to existing PCAOB independence rules to conform them to changes the Securities and Exchange Commission is considering to its independence rules.
Last June, the SEC adopted amendments to its auditor independence requirements in terms of the analysis that needs to be done to determine whether an auditor is independent when the auditor has a lending relationship with certain shareholders of an audit client.
Last December, the SEC proposed additional amendments to Rule 2-01 of Regulation S-X, ""Qualifications of Accountants.""
Several commenters on the SEC’s proposed amendments urged the SEC and the PCAOB to work together to keep the auditor independence requirements aligned."
Rule,auditor independence rules,"Jan 2, 2020",,SEC plans overhaul of audit independence rules,"The US Securities and Exchange Commission (SEC) is planning to update and strengthen certain aspects of the auditor independence frameworkThe proposed amendments would update select aspects of the nearly two-decade-old auditor independence rule set to more effectively structure the independence rules and analysis.
In these scenarios the staff regularly observes that the audit firm is objective and impartial and, as a result, does not object to their continuing the audit relationship with the audit client.
Under the current rules, the student loan of the audit partner who is not part of the audit would still lead to an independence violation for the audit engagement of the lender.
The public comment period for these proposed amendments will remain open for 60 days following publication of the proposing release in the Federal Register.
Proposed Rule: Amendments to Rule 2-01, Qualifications of Accountants, issued 31 December 2019"
Rule,auditor independence rules,"Mar 6, 2020",The CPA Journal,The Myth of Auditor Independence,"The SEC, however, relaxed independence rules last June, and Chairman Jay Clayton has proposed modernizing independence rules by further loosening them (Mark Maurer, “SEC Proposes Loosening of Auditor Independence Rules,” Wall Street Journal, Dec. 30, 2019, https://on.wsj.com/3aSsy86).
Francine McKenna criticized Clayton for his remarks in her “‘Modernizing’ Auditor Independence Rules” series at her blog The Dig.
In Part 1, she argued that “modernizing” auditor independence rules is just “doublespeak for capitulating to the Big 4’s dominance” (Jan. 7, 2020, http://bit.ly/2Gy4cD0).
This marks another instance of misconduct in consulting work, despite the constant reassurance that consulting has no influence on auditor independence.
This fifth proposal is problematic, as it raises its own questions of auditor independence in fact and appearance."
Rule,auditor independence rules,"Mar 18, 2020",,Auditors Push for Relief From Strict U.S. Independence Rules,Log in to access all of your Bloomberg Law productsSingle Sign-On
Rule,auditor independence rules,19 hours ago,JD Supra,Blog: SEC adopts amendments to auditor independence rules,"On Friday, the SEC announced adoption of final amendments to the auditor independence rules, largely as proposed at the end of 2019 (see this PubCo post).
For example, an independence violation may cause the auditor to withdraw the firm’s audit report, requiring the audit client to have a re-audit by another audit firm.
As a result, in most cases, inquiry into the topic of auditor independence should be a menu item on the audit committee’s plate.
The comprehensive framework of rules governing auditor independence identifies principles and relationships that would cause an auditor not to be independent of its audit client.
The final amendment will apply to both existing and new audit relationships."
violation,bribes,"Apr 6, 2020",NBC Bay Area,"US Prosecutors Allege Bribes in 2018, 2022 World Cup Votes","Prosecutors revealed new details of alleged bribes paid to FIFA executive committee members to gain their votes for Qatar to host the 2022 World Cup and charged a pair of former 21st Century Fox executives with making illegal payments to win broadcast rights for the 2018 and 2022 tournaments.
Guatemala federation president Rafael Salguero was promised a $1 million bribe to vote for Russia, according to the indictment.
Salguero pleaded guilty in 2018 to two counts of wire fraud conspiracy and one count each of racketeering conspiracy and money laundering conspiracy.
ESPN had U.S. English-language television rights to the World Cup from 1994-2014, but Fox in 2011 gained the rights for the 2018 and 2022 tournaments.
Lopez was CEO of Fox International Channels, a 21st Century Fox subsidiary, and Martinez was president of Fox International Channels and an executive of Fox Latin American Channel Inc."
violation,bribes,"In-Depth · Apr 6, 2020",The New York Times,U.S. Says FIFA Officials Were Bribed to Award World Cups to Russia and Qatar,"After years of investigations and indictments, the United States Department of Justice on Monday said for the first time that representatives working for Russia and Qatar had bribed FIFA officials to secure hosting rights for the World Cup in men’s soccer.
The accusations were the latest in a yearslong corruption case that has already produced convictions of numerous soccer officials and executives as well as depositions from former leaders of FIFA, world soccer’s governing body.
Never before, though, have prosecutors so clearly described the scheme that helped deliver the votes that gave Russia and Qatar hosting rights for one of the world’s biggest sporting events.
The U.S. prosecutors on Monday explicitly revealed details about money paid to five members of FIFA’s top board ahead of the 2010 vote to choose Russia and Qatar as hosts.
Russia defeated England and joint bids from Holland-Belgium and Spain-Portugal to host the 2018 men’s tournament."
violation,bribes,"Apr 6, 2020",CNBC,Former Fox executives charged with bribes in World Cup bid,"A pair of former sports marketing executives of 21st Century Fox have been indicted on charges they paid bribes to soccer officials to obtain confidential bidding information during FIFA's sale of U.S. television rights to the 2018 and 2022 World Cups.
Charges were unsealed Monday in U.S. District Court in Brooklyn against former 21st Century Fox Inc. executives Hernan Lopez and Carlos Martinez.
ESPN had U.S. English-language television rights to the World Cup from 1994-2014, but Fox in 2011 gained the rights for 2018 and 2022 tournaments.
After the 2022 tournament in Qatar was shifted from summer to late autumn, a time when it is likely to get less attention in the U.S., FIFA awarded Fox rights for 2026 without competitive bidding.
The charges against Romy and Full Play allege racketeering conspiracy."
violation,bribes,"Aug 12, 2020",The New York Times,Mexico’s Former President Accused in Bribery Scandal,"MEXICO CITY — For Mexicans, the news is disturbing — and disturbingly familiar.
A key witness in a major corruption case has accused former President Enrique Peña Nieto of directing bribes to fund his presidential campaign.
Many Mexican leaders have been accused of corruption, but no president or former president has ever been criminally prosecuted.
“This is a great opportunity to fulfill the mandate to control corruption,” said Eduardo Bohorquez, the director of Transparency International Mexico, an anti-corruption nonprofit.
“But we have seen this political game many times, and what we want to see this time is justice — not that they use the case but that they really prosecute those responsible.”"
violation,bribes,"Aug 11, 2020",Washington Post,Former aide ties Mexican ex-president Peña Nieto to millions in bribes,"The allegations are the most serious yet against Peña Nieto, who has maintained that his campaign did not receive illegal donations.
ADADWhile Mexican politics has long been permeated by corruption, only rarely have senior politicians faced criminal charges.
Lozoya said the former president and Videgaray also instructed him to use millions in bribes to pay off lawmakers to support reforms introduced by Peña Nieto.
Peña Nieto has denied allegations of corruption.
ADADThe company admitted in the settlement to paying $10.5 million in bribes to unidentified Mexican officials."
violation,bribes,"Aug 12, 2020",Latino USA,Former Mexican President Peña Nieto Accused Of Taking Bribes,"MEXICO: Emilio Lozoya, the former head of Mexico’s state oil company, Pemex, accused former President Enrique Peña Nieto of partially funding his 2012 election campaign with bribe money from the construction firm Odebrecht.
He accused Peña Nieto and former Finance Secretary Luis Videgaray of paying more than $4 million in bribes from Odebrecht to campaign consultants.
Lozoya also said that Peña Nieto spent more than $5 million to “buy votes” from legislators to approve certain measures, such as his energy reform bill.
Lozoya’s arrest earlier this year marked a victory for President Andrés Manuel López Obrador, a long-time critic of Peña Nieto’s party, the PRI, who vowed to crackdown on corruption.
In recent months, the Trump administration has banned foreigners from entering the United States because of the pandemic, but this new rule would extend the ban to citizens and permanent residents."
